Species,CollectionDate,Latitude,Longitude,MaternalLine,Site,SpeciesConfidence
Backhousia leptopetala,24/08/2026,-32.9738924,150.348284,NSW349884,HWC,Confident
Decaspermum humile,24/08/2026,-29.9738924,153.348284,NSW298140,Cattai,Unsure
Decaspermum humile,12/08/2026,-29.973899,153.348284,NSW943924,HWC,Confident
Melaleuca quinquenervia,1/01/2024,-33.2792015,151.5552973,NSW1074453,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.2802966,151.5553762,NSW1074324,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.2845166,151.5521833,NSW1074324,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.2845166,151.5521833,NSW1079672,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28459471,151.552218,NSW1079677,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28602382,151.551742,NSW1079682,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28603172,151.5517433,NSW1079680,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28357552,151.5522239,NSW1079681,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28463505,151.5516779,NSW1079671,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28465949,151.5516915,NSW1079670,p0c317820,Confident
Melaleuca quinquenervia,1/01/2024,-33.28540365,151.5515136,NSW1074433,p0c317820,Unsure
Melaleuca quinquenervia,1/01/2024,-33.20286067,151.5474484,NSW1079653,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.20289403,151.5474202,NSW1079654,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.20493702,151.5481819,NSW1074428,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.2049692,151.5481722,NSW1074428,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.2049692,151.5481722,NSW1074423,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.20594131,151.5485014,NSW1074429,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.2087521,151.5499654,NSW1074458,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.20875621,151.5500155,NSW1079687,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.21130892,151.5512911,NSW1079675,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.2118398,151.5518817,NSW1079712,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.21065443,151.5512577,NSW1079707,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.20923622,151.5524043,NSW1079717,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-33.21041547,151.5512684,NSW1079702,pd135bc30,Confident
Melaleuca quinquenervia,1/01/2024,-32.75007599,152.1210819,NSW1079702,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75007599,152.1210819,NSW1079658,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.74896662,152.1212028,NSW1079703,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.74897577,152.1211969,NSW1079709,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.748032,152.1212337,NSW1079708,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.74757274,152.1213281,NSW1079697,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75081717,152.1217409,NSW1079713,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75083052,152.1217611,NSW1079718,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75014513,152.1239062,NSW1079723,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75247506,152.1225791,NSW1079692,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.75247562,152.1225817,NSW1079728,p9c3c9590,Confident
Melaleuca quinquenervia,1/01/2024,-32.58106381,152.2854511,NSW1079733,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58144257,152.2852374,NSW1079722,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58144257,152.2852374,NSW1079722,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58144257,152.2852374,NSW1079719,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58144257,152.2852374,NSW1079714,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58364896,152.2830206,NSW1079727,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58366008,152.2830159,NSW1079724,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.58534845,152.281299,NSW1079729,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.59188917,152.2724035,NSW1079737,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.59184361,152.272363,NSW1079734,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.59141373,152.2735029,NSW1079715,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.40380819,152.4554997,NSW1079720,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.40388962,152.4558823,NSW1079691,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.40455719,152.4550025,NSW1079732,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.40455938,152.4550092,NSW1079725,p72bbeb40,Confident
Melaleuca quinquenervia,1/01/2024,-32.40612129,152.452775,NSW1079686,p72bbeb40,Confident
