Species,MaternalLine,SowDate
Decaspermum humile,NSW298140,11/07/2026
Decaspermum humile,NSW298144,18/07/2026
Melaleuca quinquenervia,NSW1074453,2/02/2026
Melaleuca quinquenervia,NSW1074324,2/02/2026
Melaleuca quinquenervia,NSW1074324,2/02/2026
Melaleuca quinquenervia,NSW1079672,2/02/2026
Melaleuca quinquenervia,NSW1079677,2/02/2026
Melaleuca quinquenervia,NSW1079682,2/02/2026
Melaleuca quinquenervia,NSW1079680,2/02/2026
Melaleuca quinquenervia,NSW1079681,2/02/2026
Melaleuca quinquenervia,NSW1079671,2/02/2026
Melaleuca quinquenervia,NSW1079670,2/02/2026
Melaleuca quinquenervia,NSW1074433,2/02/2026
Melaleuca quinquenervia,NSW1079653,2/02/2026
Melaleuca quinquenervia,NSW1079654,2/02/2026
Melaleuca quinquenervia,NSW1074428,2/02/2026
Melaleuca quinquenervia,NSW1074428,2/02/2026
Melaleuca quinquenervia,NSW1074423,2/02/2026
Melaleuca quinquenervia,NSW1074429,2/02/2026
Melaleuca quinquenervia,NSW1074458,2/02/2026
Melaleuca quinquenervia,NSW1079687,2/02/2026
Melaleuca quinquenervia,NSW1079675,2/02/2026
Melaleuca quinquenervia,NSW1079712,2/02/2026
Melaleuca quinquenervia,NSW1079707,2/02/2026
Melaleuca quinquenervia,NSW1079717,2/02/2026
Melaleuca quinquenervia,NSW1079702,2/02/2026
Melaleuca quinquenervia,NSW1079702,2/02/2026
Melaleuca quinquenervia,NSW1079658,2/02/2026
Melaleuca quinquenervia,NSW1079703,2/02/2026
Melaleuca quinquenervia,NSW1079709,2/02/2026
Melaleuca quinquenervia,NSW1079708,2/02/2026
Melaleuca quinquenervia,NSW1079697,2/02/2026
Melaleuca quinquenervia,NSW1079713,2/02/2026
Melaleuca quinquenervia,NSW1079718,2/02/2026
Melaleuca quinquenervia,NSW1079723,2/02/2026
Melaleuca quinquenervia,NSW1079692,2/02/2026
Melaleuca quinquenervia,NSW1079728,2/02/2026
Melaleuca quinquenervia,NSW1079733,2/02/2026
Melaleuca quinquenervia,NSW1079722,2/02/2026
Melaleuca quinquenervia,NSW1079722,2/02/2026
Melaleuca quinquenervia,NSW1079719,2/02/2026
Melaleuca quinquenervia,NSW1079714,2/02/2026
Melaleuca quinquenervia,NSW1079727,2/02/2026
Melaleuca quinquenervia,NSW1079724,2/02/2026
Melaleuca quinquenervia,NSW1079729,2/02/2026
Melaleuca quinquenervia,NSW1079737,2/02/2026
Melaleuca quinquenervia,NSW1079734,2/02/2026
Melaleuca quinquenervia,NSW1079715,2/02/2026
Melaleuca quinquenervia,NSW1079720,2/02/2026
Melaleuca quinquenervia,NSW1079691,2/02/2026
Melaleuca quinquenervia,NSW1079732,2/02/2026
Melaleuca quinquenervia,NSW1079725,2/02/2026
Melaleuca quinquenervia,NSW1079686,2/02/2026
Melaleuca quinquenervia,NSW1079696,2/02/2026
Melaleuca quinquenervia,NSW1079696,2/02/2026
Melaleuca quinquenervia,NSW1079701,2/02/2026
Melaleuca quinquenervia,NSW1079710,2/02/2026
Melaleuca quinquenervia,NSW1079730,2/02/2026
Melaleuca quinquenervia,NSW1079711,2/02/2026
Melaleuca quinquenervia,NSW1079773,2/02/2026
Melaleuca quinquenervia,NSW1079778,2/02/2026
Melaleuca quinquenervia,NSW1079706,2/02/2026
Melaleuca quinquenervia,NSW1079706,2/02/2026
Melaleuca quinquenervia,NSW1079705,2/02/2026
Melaleuca quinquenervia,NSW1079768,2/02/2026
Melaleuca quinquenervia,NSW1079758,2/02/2026
Melaleuca quinquenervia,NSW1079744,2/02/2026
Melaleuca quinquenervia,NSW1079753,2/02/2026
Melaleuca quinquenervia,NSW1079748,2/02/2026
Melaleuca quinquenervia,NSW1079740,2/02/2026
Melaleuca quinquenervia,NSW1079736,2/02/2026
Melaleuca quinquenervia,NSW1079735,2/02/2026
Melaleuca quinquenervia,NSW1079731,2/02/2026
Melaleuca quinquenervia,NSW1079731,2/02/2026
Melaleuca quinquenervia,NSW1079743,2/02/2026
Melaleuca quinquenervia,NSW1079763,2/02/2026
Melaleuca quinquenervia,NSW1079726,2/02/2026
Melaleuca quinquenervia,NSW1079721,2/02/2026
Melaleuca quinquenervia,NSW1079716,2/02/2026
Melaleuca quinquenervia,NSW1079739,2/02/2026
Melaleuca quinquenervia,NSW1079738,2/02/2026
Melaleuca quinquenervia,NSW1079822,2/02/2026
Melaleuca quinquenervia,NSW1079821,2/02/2026
Melaleuca quinquenervia,NSW1079783,2/02/2026
Melaleuca quinquenervia,NSW1079783,2/02/2026
Melaleuca quinquenervia,NSW1079788,2/02/2026
Melaleuca quinquenervia,NSW1079747,2/02/2026
Melaleuca quinquenervia,NSW1079793,2/02/2026
Melaleuca quinquenervia,NSW1079798,2/02/2026
Melaleuca quinquenervia,NSW1079803,2/02/2026
Melaleuca quinquenervia,NSW1079808,2/02/2026
Melaleuca quinquenervia,NSW1079752,2/02/2026
Melaleuca quinquenervia,NSW1079813,2/02/2026
Melaleuca quinquenervia,NSW1079818,2/02/2026
Melaleuca quinquenervia,NSW1079754,2/02/2026
Melaleuca quinquenervia,NSW1079757,2/02/2026
Melaleuca quinquenervia,NSW1079759,2/02/2026
Melaleuca quinquenervia,NSW1079749,2/02/2026
Melaleuca quinquenervia,NSW1079764,2/02/2026
Melaleuca quinquenervia,NSW1079769,2/02/2026
Melaleuca quinquenervia,NSW1079769,2/02/2026
Melaleuca quinquenervia,NSW1079774,2/02/2026
Melaleuca quinquenervia,NSW1079774,2/02/2026
Melaleuca quinquenervia,NSW1079746,2/02/2026
Melaleuca quinquenervia,NSW1079741,2/02/2026
Melaleuca quinquenervia,NSW1079751,2/02/2026
Melaleuca quinquenervia,NSW1079756,2/02/2026
Melaleuca quinquenervia,NSW1079761,2/02/2026
Melaleuca quinquenervia,NSW1079779,2/02/2026
Melaleuca quinquenervia,NSW1079762,2/02/2026
Melaleuca quinquenervia,NSW1079765,2/02/2026
Melaleuca quinquenervia,NSW1079766,2/02/2026
Melaleuca quinquenervia,NSW1079799,2/02/2026
Melaleuca quinquenervia,NSW1079767,2/02/2026
Melaleuca quinquenervia,NSW1079784,2/02/2026
Melaleuca quinquenervia,NSW1079789,2/02/2026
Melaleuca quinquenervia,NSW1079794,2/02/2026
Melaleuca quinquenervia,NSW1079794,2/02/2026
Melaleuca quinquenervia,NSW1079804,2/02/2026
Melaleuca quinquenervia,NSW1079814,2/02/2026
Melaleuca quinquenervia,NSW1079819,2/02/2026
Melaleuca quinquenervia,NSW1079745,2/02/2026
Melaleuca quinquenervia,NSW1079755,2/02/2026
Melaleuca quinquenervia,NSW1079750,2/02/2026
Melaleuca quinquenervia,NSW1079760,2/02/2026
Melaleuca quinquenervia,NSW1079809,2/02/2026
Melaleuca quinquenervia,NSW1079772,2/02/2026
Melaleuca quinquenervia,NSW1074329,2/02/2026
Melaleuca quinquenervia,NSW1074329,2/02/2026
Melaleuca quinquenervia,NSW1071113,2/02/2026
Melaleuca quinquenervia,NSW1071118,2/02/2026
Melaleuca quinquenervia,NSW1074334,2/02/2026
Melaleuca quinquenervia,NSW1074339,2/02/2026
Melaleuca quinquenervia,NSW1071115,2/02/2026
Melaleuca quinquenervia,NSW1071070,2/02/2026
Melaleuca quinquenervia,NSW1071110,2/02/2026
Melaleuca quinquenervia,NSW1071090,2/02/2026
Melaleuca quinquenervia,NSW1071090,2/02/2026
Melaleuca quinquenervia,NSW1071133,2/02/2026
Melaleuca quinquenervia,NSW1071128,2/02/2026
Melaleuca quinquenervia,NSW1078653,2/02/2026
Melaleuca quinquenervia,NSW1078636,2/02/2026
Melaleuca quinquenervia,NSW1078641,2/02/2026
Melaleuca quinquenervia,NSW1078641,2/02/2026
Melaleuca quinquenervia,NSW1071123,2/02/2026
Melaleuca quinquenervia,NSW1078645,2/02/2026
Melaleuca quinquenervia,NSW1071075,2/02/2026
Melaleuca quinquenervia,NSW1071080,2/02/2026
Melaleuca quinquenervia,NSW1078646,2/02/2026
Melaleuca quinquenervia,NSW1078640,2/02/2026
Melaleuca quinquenervia,NSW1078642,2/02/2026
Melaleuca quinquenervia,NSW1078637,2/02/2026
Melaleuca quinquenervia,NSW1071143,2/02/2026
Melaleuca quinquenervia,NSW1071143,2/02/2026
Melaleuca quinquenervia,NSW1078647,2/02/2026
Melaleuca quinquenervia,NSW1078651,2/02/2026
Melaleuca quinquenervia,NSW1078713,2/02/2026
Melaleuca quinquenervia,NSW1078654,2/02/2026
Melaleuca quinquenervia,NSW1078652,2/02/2026
Melaleuca quinquenervia,NSW1078656,2/02/2026
Melaleuca quinquenervia,NSW1078658,2/02/2026
Melaleuca quinquenervia,NSW1078657,2/02/2026
Melaleuca quinquenervia,NSW1078660,2/02/2026
Melaleuca quinquenervia,NSW1078662,2/02/2026
Melaleuca quinquenervia,NSW1078662,2/02/2026
Melaleuca quinquenervia,NSW1074318,2/02/2026
Melaleuca quinquenervia,NSW1080781,2/02/2026
Melaleuca quinquenervia,NSW1080782,2/02/2026
Melaleuca quinquenervia,NSW1080766,2/02/2026
Melaleuca quinquenervia,NSW1080784,2/02/2026
Melaleuca quinquenervia,NSW1080764,2/02/2026
Melaleuca quinquenervia,NSW1080779,2/02/2026
Melaleuca quinquenervia,NSW1080778,2/02/2026
Melaleuca quinquenervia,NSW1080787,2/02/2026
Melaleuca quinquenervia,NSW1080777,2/02/2026
Melaleuca quinquenervia,NSW1080786,2/02/2026
Melaleuca quinquenervia,NSW1080785,2/02/2026
Melaleuca quinquenervia,NSW1080785,2/02/2026
Melaleuca quinquenervia,NSW1080773,2/02/2026
Melaleuca quinquenervia,NSW1080774,2/02/2026
Melaleuca quinquenervia,NSW1080768,2/02/2026
Melaleuca quinquenervia,NSW1080770,2/02/2026
Melaleuca quinquenervia,NSW1080769,2/02/2026
Melaleuca quinquenervia,NSW1080775,2/02/2026
Melaleuca quinquenervia,NSW1080765,2/02/2026
Melaleuca quinquenervia,NSW1080776,2/02/2026
Melaleuca quinquenervia,NSW1080771,2/02/2026
Melaleuca quinquenervia,NSW1080763,2/02/2026
Melaleuca quinquenervia,NSW1080761,2/02/2026
Melaleuca quinquenervia,NSW1080758,2/02/2026
Melaleuca quinquenervia,NSW1080780,2/02/2026
Melaleuca quinquenervia,NSW1071148,2/02/2026
Melaleuca quinquenervia,NSW1080767,2/02/2026
Melaleuca quinquenervia,NSW1080772,2/02/2026
Melaleuca quinquenervia,NSW1071138,2/02/2026
Melaleuca quinquenervia,NSW1080759,2/02/2026
Melaleuca quinquenervia,NSW1074398,2/02/2026
Melaleuca quinquenervia,NSW1080762,2/02/2026
Melaleuca quinquenervia,NSW1080762,2/02/2026
