Species,MaternalLine,SeedlingID,InoculationDate,ScoringDate,Flecking,Chlorosis,Necrosis,ActiveSpores,Coverage,ImmuneResponse
Backhousia leptopetala,NSW349884,9320,11/08/2026,22/08/2026,N,Y,Y,Y,20,S
Backhousia leptopetala,NSW349884,4324,11/08/2026,22/08/2026,Y,N,N,N,5,R
Backhousia leptopetala,NSW349884,3464,11/08/2026,22/08/2026,Y,N,N,N,5,R
Backhousia leptopetala,NSW349884,3425,11/08/2026,22/08/2026,Y,N,Y,N,5,R
Decaspermum humile,NSW298140,3902,12/08/2026,24/08/2026,N,N,N,N,0,HR
Decaspermum humile,NSW298140,2001,12/08/2026,24/08/2026,N,N,N,N,0,HR
Decaspermum humile,NSW943924,2919,12/08/2026,24/08/2026,N,N,N,N,0,HR
Decaspermum humile,NSW943924,3256,12/08/2026,24/08/2026,N,Y,N,Mix,30,MS
Decaspermum humile,NSW298140,2341,12/08/2026,24/08/2026,Y,N,N,N,5,R
Decaspermum humile,NSW943924,3445,12/08/2026,24/08/2026,N,Y,Y,Mix,45,MS
Melaleuca quinquenervia,NSW1071070,1,3/02/2026,24/02/2026,Y,N,N,R,72,S
Melaleuca quinquenervia,NSW1071070,2,3/02/2026,24/02/2026,N,Y,Y,N,74,R
Melaleuca quinquenervia,NSW1071070,3,3/02/2026,24/02/2026,Y,N,Y,R,78,R
Melaleuca quinquenervia,NSW1071070,4,3/02/2026,24/02/2026,N,Y,N,UR,79,R
Melaleuca quinquenervia,NSW1071070,5,3/02/2026,24/02/2026,Y,N,Y,Mix,39,HR
Melaleuca quinquenervia,NSW1071070,6,3/02/2026,24/02/2026,Y,N,Y,N,32,HR
Melaleuca quinquenervia,NSW1071070,7,3/02/2026,24/02/2026,N,Y,N,Mix,35,HR
Melaleuca quinquenervia,NSW1071070,8,3/02/2026,24/02/2026,Y,Y,Y,Mix,1,MS
Melaleuca quinquenervia,NSW1071070,9,3/02/2026,24/02/2026,Y,Y,Y,UR,88,R
Melaleuca quinquenervia,NSW1071070,10,3/02/2026,24/02/2026,N,Y,Y,Mix,86,MS
Melaleuca quinquenervia,NSW1071075,14,3/02/2026,24/02/2026,Y,N,Y,Mix,45,S
Melaleuca quinquenervia,NSW1071075,15,3/02/2026,24/02/2026,N,N,Y,UR,56,R
Melaleuca quinquenervia,NSW1071075,16,3/02/2026,24/02/2026,Y,Y,N,UR,40,R
Melaleuca quinquenervia,NSW1071075,19,3/02/2026,24/02/2026,N,N,Y,UR,78,R
