"","Species","MaternalLine","SeedlingID","InoculationDate","ScoringDate","Flecking","Chlorosis","Necrosis","ActiveSpores","Coverage","ImmuneResponse","summary_score"
"1","Backhousia leptopetala","NSW349884",9320,"11/08/2026","22/08/2026","N","Y","Y","Y",20,"S",17.5
"2","Backhousia leptopetala","NSW349884",4324,"11/08/2026","22/08/2026","Y","N","N","N",5,"R",1.25
"3","Backhousia leptopetala","NSW349884",3464,"11/08/2026","22/08/2026","Y","N","N","N",5,"R",1.25
"4","Backhousia leptopetala","NSW349884",3425,"11/08/2026","22/08/2026","Y","N","Y","N",5,"R",1.25
"5","Decaspermum humile","NSW298140",3902,"12/08/2026","24/08/2026","N","N","N","N",0,"HR",0
"6","Decaspermum humile","NSW298140",2001,"12/08/2026","24/08/2026","N","N","N","N",0,"HR",0
"7","Decaspermum humile","NSW943924",2919,"12/08/2026","24/08/2026","N","N","N","N",0,"HR",0
"8","Decaspermum humile","NSW943924",3256,"12/08/2026","24/08/2026","N","Y","N","Mix",30,"MS",22.5
"9","Decaspermum humile","NSW298140",2341,"12/08/2026","24/08/2026","Y","N","N","N",5,"R",1.25
"10","Decaspermum humile","NSW943924",3445,"12/08/2026","24/08/2026","N","Y","Y","Mix",45,"MS",33.75
"11","Melaleuca quinquenervia","NSW1071070",1,"3/02/2026","24/02/2026","Y","N","N","R",72,"S",63
"12","Melaleuca quinquenervia","NSW1071070",2,"3/02/2026","24/02/2026","N","Y","Y","N",74,"R",18.5
"13","Melaleuca quinquenervia","NSW1071070",3,"3/02/2026","24/02/2026","Y","N","Y","R",78,"R",19.5
"14","Melaleuca quinquenervia","NSW1071070",4,"3/02/2026","24/02/2026","N","Y","N","UR",79,"R",19.75
"15","Melaleuca quinquenervia","NSW1071070",5,"3/02/2026","24/02/2026","Y","N","Y","Mix",39,"HR",0
"16","Melaleuca quinquenervia","NSW1071070",6,"3/02/2026","24/02/2026","Y","N","Y","N",32,"HR",0
"17","Melaleuca quinquenervia","NSW1071070",7,"3/02/2026","24/02/2026","N","Y","N","Mix",35,"HR",0
"18","Melaleuca quinquenervia","NSW1071070",8,"3/02/2026","24/02/2026","Y","Y","Y","Mix",1,"MS",0.75
"19","Melaleuca quinquenervia","NSW1071070",9,"3/02/2026","24/02/2026","Y","Y","Y","UR",88,"R",22
"20","Melaleuca quinquenervia","NSW1071070",10,"3/02/2026","24/02/2026","N","Y","Y","Mix",86,"MS",64.5
"21","Melaleuca quinquenervia","NSW1071075",14,"3/02/2026","24/02/2026","Y","N","Y","Mix",45,"S",39.375
"22","Melaleuca quinquenervia","NSW1071075",15,"3/02/2026","24/02/2026","N","N","Y","UR",56,"R",14
"23","Melaleuca quinquenervia","NSW1071075",16,"3/02/2026","24/02/2026","Y","Y","N","UR",40,"R",10
"24","Melaleuca quinquenervia","NSW1071075",19,"3/02/2026","24/02/2026","N","N","Y","UR",78,"R",19.5
"25","Melaleuca quinquenervia","NSW1071075",20,"3/02/2026","24/02/2026","N","Y","Y","N",3,"HR",0
"26","Melaleuca quinquenervia","NSW1071075",22,"3/02/2026","24/02/2026","N","Y","Y","UR",78,"HR",0
"27","Melaleuca quinquenervia","NSW1071075",24,"3/02/2026","24/02/2026","N","Y","N","Mix",30,"HR",0
"28","Melaleuca quinquenervia","NSW1071080",25,"3/02/2026","24/02/2026","Y","N","Y","Mix",57,"MS",42.75
"29","Melaleuca quinquenervia","NSW1071080",27,"3/02/2026","24/02/2026","N","Y","N","UR",92,"R",23
"30","Melaleuca quinquenervia","NSW1071080",28,"3/02/2026","24/02/2026","N","N","N","R",45,"MS",33.75
"31","Melaleuca quinquenervia","NSW1071080",31,"3/02/2026","24/02/2026","Y","N","N","N",94,"S",82.25
"32","Melaleuca quinquenervia","NSW1071080",32,"3/02/2026","24/02/2026","N","N","N","UR",58,"R",14.5
"33","Melaleuca quinquenervia","NSW1071080",35,"3/02/2026","24/02/2026","Y","Y","N","UR",23,"R",5.75
"34","Melaleuca quinquenervia","NSW1071080",36,"3/02/2026","24/02/2026","N","Y","N","Mix",11,"R",2.75
"35","Melaleuca quinquenervia","NSW1071090",37,"3/02/2026","24/02/2026","Y","N","N","Mix",71,"HR",0
"36","Melaleuca quinquenervia","NSW1071090",39,"3/02/2026","24/02/2026","Y","N","Y","N",86,"HR",0
"37","Melaleuca quinquenervia","NSW1071090",41,"3/02/2026","24/02/2026","N","N","N","R",24,"HR",0
"38","Melaleuca quinquenervia","NSW1071090",43,"3/02/2026","24/02/2026","Y","Y","Y","N",38,"MS",28.5
"39","Melaleuca quinquenervia","NSW1071090",45,"3/02/2026","24/02/2026","Y","N","Y","UR",86,"R",21.5
"40","Melaleuca quinquenervia","NSW1071090",49,"3/02/2026","24/02/2026","N","N","Y","UR",17,"MS",12.75
"41","Melaleuca quinquenervia","NSW1071090",51,"3/02/2026","24/02/2026","Y","N","N","R",98,"S",85.75
"42","Melaleuca quinquenervia","NSW1071090",55,"3/02/2026","24/02/2026","N","Y","N","N",23,"R",5.75
"43","Melaleuca quinquenervia","NSW1071090",57,"3/02/2026","24/02/2026","Y","N","N","R",65,"R",16.25
"44","Melaleuca quinquenervia","NSW1071110",61,"3/02/2026","24/02/2026","N","N","N","R",56,"R",14
"45","Melaleuca quinquenervia","NSW1071110",62,"3/02/2026","24/02/2026","N","N","Y","Mix",72,"HR",0
"46","Melaleuca quinquenervia","NSW1071110",63,"3/02/2026","24/02/2026","Y","N","N","Mix",13,"HR",0
"47","Melaleuca quinquenervia","NSW1071110",65,"3/02/2026","24/02/2026","Y","N","Y","UR",60,"HR",0
"48","Melaleuca quinquenervia","NSW1071110",66,"3/02/2026","24/02/2026","Y","Y","Y","N",27,"MS",20.25
"49","Melaleuca quinquenervia","NSW1071110",68,"3/02/2026","24/02/2026","N","N","N","R",41,"R",10.25
"50","Melaleuca quinquenervia","NSW1071110",71,"3/02/2026","24/02/2026","Y","Y","N","Mix",4,"MS",3
"51","Melaleuca quinquenervia","NSW1071113",81,"3/02/2026","24/02/2026","Y","N","Y","N",16,"S",14
"52","Melaleuca quinquenervia","NSW1071113",82,"3/02/2026","24/02/2026","Y","Y","Y","R",2,"R",0.5
"53","Melaleuca quinquenervia","NSW1071113",83,"3/02/2026","24/02/2026","N","N","Y","R",43,"R",10.75
"54","Melaleuca quinquenervia","NSW1071115",85,"3/02/2026","24/02/2026","Y","Y","N","R",22,"R",5.5
"55","Melaleuca quinquenervia","NSW1071115",87,"3/02/2026","24/02/2026","Y","Y","N","Mix",58,"HR",0
"56","Melaleuca quinquenervia","NSW1071115",89,"3/02/2026","24/02/2026","Y","Y","Y","N",82,"HR",0
"57","Melaleuca quinquenervia","NSW1071115",90,"3/02/2026","24/02/2026","Y","N","Y","Mix",62,"HR",0
"58","Melaleuca quinquenervia","NSW1071115",94,"3/02/2026","24/02/2026","N","Y","N","UR",17,"MS",12.75
"59","Melaleuca quinquenervia","NSW1071118",97,"3/02/2026","24/02/2026","Y","Y","Y","Mix",36,"R",9
"60","Melaleuca quinquenervia","NSW1071118",98,"3/02/2026","24/02/2026","Y","N","N","R",10,"MS",7.5
"61","Melaleuca quinquenervia","NSW1071118",99,"3/02/2026","24/02/2026","N","Y","N","UR",5,"HR",0
"62","Melaleuca quinquenervia","NSW1071118",101,"3/02/2026","24/02/2026","N","Y","N","N",76,"MS",57
"63","Melaleuca quinquenervia","NSW1071118",102,"3/02/2026","24/02/2026","N","Y","N","R",48,"R",12
