Species,SeedlingID,Site,Subsite,MonitoringDate,Surveyor,Height,Mortality,HealthStatus,NewFlush,MyrtleRustWorstScore,MyrtleRustImpactScore,Flecing,Chlorosis,Necrosis,ActiveSpores,MyrtleRustDieback,Notes,Reproduction
Decaspermum humile,3902,Cattai,Wetland Forest,17/10/2025,Karina Guo,24,Live,Healthy,Y,4,5,N,N,Y,Y,Y,,N
Backhousia leptopetala,9320,HWC,Side Swamp,17/10/2025,Karina Guo,53,Live,Healthy,Y,2,3,N,N,N,Y,N,,N
Decaspermum humile,2919,HWC,Wetland Forest,17/10/2025,Karina Guo,53,Live,Healthy,Y,2,3,N,N,N,Y,N,,N
Melaleuca quinquenervia,1,Cattai,Wetland Forest,14/05/2026,Karina Guo,29,Live,Moderate,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,2,Cattai,Wetland Forest,14/05/2026,Karina Guo,43,Live,Poorly,N,1,0,N,N,N,N,N,,N
Melaleuca quinquenervia,3,Cattai,Wetland Forest,14/05/2026,Karina Guo,38,Live,Healthy,Y,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,4,Cattai,Wetland Forest,14/05/2026,Karina Guo,35,Live,Poorly,N,3,0,N,N,Y,N,N,,N
Melaleuca quinquenervia,5,Cattai,Wetland Forest,14/05/2026,Karina Guo,39,Live,Moderate-Poorly,N,2,0,N,N,N,N,N,,N
Melaleuca quinquenervia,6,Cattai,Wetland Forest,14/05/2026,Karina Guo,39,Live,Healthy-Moderate,Y,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,7,Cattai,Wetland Forest,14/05/2026,Karina Guo,27,Live,Healthy,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,8,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Moderate-Poorly,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,9,Cattai,Wetland Forest,14/05/2026,Karina Guo,23,Live,Poorly,Y,2,3,N,Y,N,Y,N,,N
Melaleuca quinquenervia,10,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Moderate-Poorly,N,1,0,N,N,N,N,N,,N
Melaleuca quinquenervia,14,Cattai,Wetland Forest,14/05/2026,Karina Guo,30,Live,Poorly,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,15,Cattai,Wetland Forest,14/05/2026,Karina Guo,44,Live,Moderate,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,16,Cattai,Wetland Forest,14/05/2026,Karina Guo,42,Live,Healthy-Moderate,Y,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,19,Cattai,Wetland Forest,14/05/2026,Karina Guo,30,Live,Healthy-Moderate,Y,0,0,N,Y,Y,N,N,,N
Melaleuca quinquenervia,20,Cattai,Wetland Forest,14/05/2026,Karina Guo,37,Live,Poorly,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,22,Cattai,Wetland Forest,14/05/2026,Karina Guo,20,Live,Poorly,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,24,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Healthy,Y,2,2,N,N,N,Y,N,,N
Melaleuca quinquenervia,25,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Moderate-Poorly,N,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,27,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Healthy,Y,0,0,N,N,N,N,N,,N
Melaleuca quinquenervia,28,Cattai,Wetland Forest,14/05/2026,Karina Guo,40,Live,Healthy-Moderate,Y,0,0,Y,N,N,N,N,,N
Melaleuca quinquenervia,31,Cattai,Wetland Forest,14/05/2026,Karina Guo,31,Live,Moderate-Poorly,Y,0,0,N,N,Y,N,N,,N
