Species,MaternalLine,FieldScore,ArtificialInoculation
Backhousia leptopetala,NSW349884,0.06,70
Decaspermum humile,NSW298140,0.35,73
Decaspermum humile,NSW943924,0.40,89
Melaleuca quinquenervia,NSW1071070,0.18,10
Melaleuca quinquenervia,NSW1071075,0.61,40
Melaleuca quinquenervia,NSW1071080,0.58,46
Melaleuca quinquenervia,NSW1071090,0.23,50
Melaleuca quinquenervia,NSW1071110,0.68,30
Melaleuca quinquenervia,NSW1071113,0.37,68
Melaleuca quinquenervia,NSW1071115,0.74,55
Melaleuca quinquenervia,NSW1071118,0.22,6
Melaleuca quinquenervia,NSW1071123,0.18,15
Melaleuca quinquenervia,NSW1071128,0.70,10
Melaleuca quinquenervia,NSW1071133,0.00,86
Melaleuca quinquenervia,NSW1071138,0.46,26
Melaleuca quinquenervia,NSW1071143,0.17,75
Melaleuca quinquenervia,NSW1071148,0.90,65
Melaleuca quinquenervia,NSW1074318,0.84,44
Melaleuca quinquenervia,NSW1074324,0.00,29
Melaleuca quinquenervia,NSW1075719,0.24,44
Melaleuca quinquenervia,NSW1074429,0.73,43
Melaleuca quinquenervia,NSW1075723,0.84,3
Melaleuca quinquenervia,NSW1074334,0.40,7
Melaleuca quinquenervia,NSW1074339,0.30,95
Melaleuca quinquenervia,NSW1074398,0.06,42
Melaleuca quinquenervia,NSW1074423,0.71,45
Melaleuca quinquenervia,NSW1075706,0.12,93
Melaleuca quinquenervia,NSW1074428,0.45,22
Melaleuca quinquenervia,NSW1074329,0.23,44
Melaleuca quinquenervia,NSW1074433,0.25,96
Melaleuca quinquenervia,NSW1074453,0.35,42
Melaleuca quinquenervia,NSW1074458,0.07,96
Melaleuca quinquenervia,NSW1078636,0.91,93
Melaleuca quinquenervia,NSW1078637,0.65,5
Melaleuca quinquenervia,NSW1078640,0.16,3
Melaleuca quinquenervia,NSW1078641,0.55,68
Melaleuca quinquenervia,NSW1078642,0.95,43
Melaleuca quinquenervia,NSW1078645,0.19,56
Melaleuca quinquenervia,NSW1078647,0.09,45
Melaleuca quinquenervia,NSW1078651,0.02,84
Melaleuca quinquenervia,NSW1078652,0.47,57
Melaleuca quinquenervia,NSW1078653,0.49,42
Melaleuca quinquenervia,NSW1078654,0.46,40
Melaleuca quinquenervia,NSW1078656,0.20,24
Melaleuca quinquenervia,NSW1078657,0.36,49
Melaleuca quinquenervia,NSW1078658,0.90,39
Melaleuca quinquenervia,NSW1078660,0.51,38
Melaleuca quinquenervia,NSW1078662,0.97,30
Melaleuca quinquenervia,NSW1075721,0.23,51
Melaleuca quinquenervia,NSW1078713,0.81,76
Melaleuca quinquenervia,NSW1079653,0.64,0
Melaleuca quinquenervia,NSW1079654,0.63,64
Melaleuca quinquenervia,NSW1079658,0.51,88
Melaleuca quinquenervia,NSW1079670,0.01,90
Melaleuca quinquenervia,NSW1079671,0.89,57
Melaleuca quinquenervia,NSW1079672,0.25,29
Melaleuca quinquenervia,NSW1079675,0.12,92
Melaleuca quinquenervia,NSW1079677,0.29,78
Melaleuca quinquenervia,NSW1079680,0.10,50
Melaleuca quinquenervia,NSW1079681,0.60,9
Melaleuca quinquenervia,NSW1079682,0.67,51
Melaleuca quinquenervia,NSW1079686,0.03,82
Melaleuca quinquenervia,NSW1079687,0.38,18
Melaleuca quinquenervia,NSW1079691,0.80,59
Melaleuca quinquenervia,NSW1079692,0.25,31
Melaleuca quinquenervia,NSW1079696,0.72,84
Melaleuca quinquenervia,NSW1079697,0.28,48
Melaleuca quinquenervia,NSW1079701,0.28,18
Melaleuca quinquenervia,NSW1075707,0.44,62
Melaleuca quinquenervia,NSW1079702,0.78,48
Melaleuca quinquenervia,NSW1079703,0.13,48
Melaleuca quinquenervia,NSW1079705,0.72,72
Melaleuca quinquenervia,NSW1079706,0.03,8
Melaleuca quinquenervia,NSW1079707,0.46,51
Melaleuca quinquenervia,NSW1079708,0.85,74
Melaleuca quinquenervia,NSW1079709,0.99,48
Melaleuca quinquenervia,NSW1079710,0.05,38
Melaleuca quinquenervia,NSW1079711,0.37,7
Melaleuca quinquenervia,NSW1075712,0.76,0
Melaleuca quinquenervia,NSW1079713,0.06,95
Melaleuca quinquenervia,NSW1079714,0.06,85
Melaleuca quinquenervia,NSW1079715,0.94,7
Melaleuca quinquenervia,NSW1079716,0.09,63
Melaleuca quinquenervia,NSW1079717,0.90,4
Melaleuca quinquenervia,NSW1079718,0.58,76
Melaleuca quinquenervia,NSW1079719,0.33,39
Melaleuca quinquenervia,NSW1079720,0.02,55
Melaleuca quinquenervia,NSW1079721,0.90,55
Melaleuca quinquenervia,NSW1079722,0.39,88
Melaleuca quinquenervia,NSW1079723,0.93,17
Melaleuca quinquenervia,NSW1079724,0.53,2
Melaleuca quinquenervia,NSW1079725,0.10,90
Melaleuca quinquenervia,NSW1079726,0.31,69
Melaleuca quinquenervia,NSW1079727,0.15,92
Melaleuca quinquenervia,NSW1079728,0.24,60
Melaleuca quinquenervia,NSW1079729,0.25,90
Melaleuca quinquenervia,NSW1079730,0.20,71
Melaleuca quinquenervia,NSW1079731,0.77,77
Melaleuca quinquenervia,NSW1079732,0.90,78
Melaleuca quinquenervia,NSW1079733,0.38,40
Melaleuca quinquenervia,NSW1079735,0.39,0
Melaleuca quinquenervia,NSW1079736,0.91,99
Melaleuca quinquenervia,NSW1079737,0.64,79
Melaleuca quinquenervia,NSW1079738,0.92,8
Melaleuca quinquenervia,NSW1079739,0.30,53
Melaleuca quinquenervia,NSW1079740,0.63,84
Melaleuca quinquenervia,NSW1079741,0.80,100
Melaleuca quinquenervia,NSW1079743,0.65,33
Melaleuca quinquenervia,NSW1079744,0.04,36
Melaleuca quinquenervia,NSW1079745,0.94,18
Melaleuca quinquenervia,NSW1079746,0.51,13
Melaleuca quinquenervia,NSW1079747,0.31,18
Melaleuca quinquenervia,NSW1079748,0.20,88
Melaleuca quinquenervia,NSW1079750,0.74,86
Melaleuca quinquenervia,NSW1079751,0.90,19
Melaleuca quinquenervia,NSW1079752,0.73,13
Melaleuca quinquenervia,NSW1079753,0.59,82
Melaleuca quinquenervia,NSW1079755,0.63,97
Melaleuca quinquenervia,NSW1079756,0.54,17
Melaleuca quinquenervia,NSW1079758,0.29,70
Melaleuca quinquenervia,NSW1079760,0.13,32
Melaleuca quinquenervia,NSW1079761,0.59,66
Melaleuca quinquenervia,NSW1079762,0.29,96
Melaleuca quinquenervia,NSW1079763,0.35,38
Melaleuca quinquenervia,NSW1079765,0.01,42
Melaleuca quinquenervia,NSW1079766,0.34,94
Melaleuca quinquenervia,NSW1079768,0.65,7
Melaleuca quinquenervia,NSW1079772,0.43,73
Melaleuca quinquenervia,NSW1079773,0.54,61
Melaleuca quinquenervia,NSW1079774,0.53,56
Melaleuca quinquenervia,NSW1079778,0.03,31
Melaleuca quinquenervia,NSW1079779,0.71,62
Melaleuca quinquenervia,NSW1079783,0.03,81
Melaleuca quinquenervia,NSW1079784,0.18,51
Melaleuca quinquenervia,NSW1079788,0.45,32
Melaleuca quinquenervia,NSW1079789,0.41,91
Melaleuca quinquenervia,NSW1079793,0.11,29
Melaleuca quinquenervia,NSW1079794,0.49,28
Melaleuca quinquenervia,NSW1079798,0.46,7
Melaleuca quinquenervia,NSW1079799,0.27,36
Melaleuca quinquenervia,NSW1079803,0.45,87
Melaleuca quinquenervia,NSW1079804,0.24,21
Melaleuca quinquenervia,NSW1079808,0.21,22
Melaleuca quinquenervia,NSW1079809,0.56,84
Melaleuca quinquenervia,NSW1079813,0.95,56
Melaleuca quinquenervia,NSW1079814,0.81,60
Melaleuca quinquenervia,NSW1079818,0.06,38
Melaleuca quinquenervia,NSW1079821,0.59,16
Melaleuca quinquenervia,NSW1079822,0.24,32
Melaleuca quinquenervia,NSW1080758,0.08,13
Melaleuca quinquenervia,NSW1080759,0.22,51
Melaleuca quinquenervia,NSW1080761,0.64,93
Melaleuca quinquenervia,NSW1080762,0.61,17
Melaleuca quinquenervia,NSW1080763,0.41,81
Melaleuca quinquenervia,NSW1080764,0.18,56
Melaleuca quinquenervia,NSW1080765,0.51,65
Melaleuca quinquenervia,NSW1080766,0.49,99
Melaleuca quinquenervia,NSW1080767,0.89,79
Melaleuca quinquenervia,NSW1080768,0.09,37
Melaleuca quinquenervia,NSW1080770,0.71,22
Melaleuca quinquenervia,NSW1080771,0.55,98
Melaleuca quinquenervia,NSW1080772,0.06,67
Melaleuca quinquenervia,NSW1080773,0.96,57
Melaleuca quinquenervia,NSW1080774,0.41,43
Melaleuca quinquenervia,NSW1080775,0.28,18
Melaleuca quinquenervia,NSW1080776,0.74,90
Melaleuca quinquenervia,NSW1080777,0.60,64
Melaleuca quinquenervia,NSW1080778,0.74,0
Melaleuca quinquenervia,NSW1080779,0.15,94
Melaleuca quinquenervia,NSW1080780,0.98,90
Melaleuca quinquenervia,NSW1080781,0.82,73
Melaleuca quinquenervia,NSW1080782,0.03,2
Melaleuca quinquenervia,NSW1080784,0.74,29
Melaleuca quinquenervia,NSW1080785,0.66,78
Melaleuca quinquenervia,NSW1080786,0.25,40
Melaleuca quinquenervia,NSW1080787,0.73,29
Melaleuca quinquenervia,NSW1075708,0.30,48
Melaleuca quinquenervia,NSW1075704,0.08,93
Melaleuca quinquenervia,NSW1075720,0.59,48
Melaleuca quinquenervia,NSW1075709,0.39,92
Melaleuca quinquenervia,NSW1075710,0.91,72
Melaleuca quinquenervia,NSW1075713,0.83,56
Melaleuca quinquenervia,NSW1075711,0.12,90
Melaleuca quinquenervia,NSW1075722,0.42,7
Melaleuca quinquenervia,NSW1075705,0.19,34
Melaleuca quinquenervia,NSW1075718,0.87,86
