Species,SeedlingID,FieldScore,ArtificialInoculation
Decaspermum humile,3902,0.23,30
Backhousia leptopetala,9320,0.1,25
Melaleuca quinquenervia,1,0.78,71
Melaleuca quinquenervia,2,0.78,22
Melaleuca quinquenervia,3,0.18,20
Melaleuca quinquenervia,4,0.88,85
Melaleuca quinquenervia,5,0.95,42
Melaleuca quinquenervia,6,0.31,58
Melaleuca quinquenervia,7,0.58,96
Melaleuca quinquenervia,8,0.31,4
Melaleuca quinquenervia,9,0.92,70
Melaleuca quinquenervia,10,0.42,27
Melaleuca quinquenervia,14,0.84,0
Melaleuca quinquenervia,15,0.26,30
Melaleuca quinquenervia,16,0.07,97
Melaleuca quinquenervia,19,0.77,90
Melaleuca quinquenervia,20,0.17,22
Melaleuca quinquenervia,22,0.24,5
Melaleuca quinquenervia,24,0.68,91
Melaleuca quinquenervia,25,0.12,32
Melaleuca quinquenervia,27,0.58,46
Melaleuca quinquenervia,28,0.39,66
Melaleuca quinquenervia,31,0.40,60
Melaleuca quinquenervia,32,0.11,2
Melaleuca quinquenervia,35,0.58,19
Melaleuca quinquenervia,36,0.03,62
Melaleuca quinquenervia,37,0.02,99
Melaleuca quinquenervia,39,0.34,61
Melaleuca quinquenervia,41,0.06,18
Melaleuca quinquenervia,43,0.41,93
Melaleuca quinquenervia,45,0.61,31
Melaleuca quinquenervia,49,0.65,39
Melaleuca quinquenervia,51,0.63,56
Melaleuca quinquenervia,55,0.68,14
Melaleuca quinquenervia,57,0.07,92
Melaleuca quinquenervia,61,0.38,94
Melaleuca quinquenervia,62,0.45,34
Melaleuca quinquenervia,63,0.78,47
Melaleuca quinquenervia,65,0.91,66
Melaleuca quinquenervia,66,0.09,51
Melaleuca quinquenervia,68,0.75,71
Melaleuca quinquenervia,71,0.89,21
Melaleuca quinquenervia,81,0.85,14
Melaleuca quinquenervia,82,0.06,32
Melaleuca quinquenervia,83,0.56,13
Melaleuca quinquenervia,85,0.98,34
Melaleuca quinquenervia,87,0.65,42
Melaleuca quinquenervia,89,0.76,47
Melaleuca quinquenervia,90,0.99,49
Melaleuca quinquenervia,94,0.77,63
Melaleuca quinquenervia,97,0.78,37
Melaleuca quinquenervia,98,0.96,76
Melaleuca quinquenervia,99,0.19,61
Melaleuca quinquenervia,101,0.27,39
Melaleuca quinquenervia,102,0.61,63
Melaleuca quinquenervia,103,0.49,72
Melaleuca quinquenervia,106,0.99,79
Melaleuca quinquenervia,107,0.52,36
Melaleuca quinquenervia,108,0.29,18
Melaleuca quinquenervia,109,0.60,20
Melaleuca quinquenervia,112,0.23,35
Melaleuca quinquenervia,113,0.69,91
Melaleuca quinquenervia,116,0.20,4
Melaleuca quinquenervia,118,0.28,98
Melaleuca quinquenervia,120,0.94,37
Melaleuca quinquenervia,121,0.32,77
Melaleuca quinquenervia,122,0.77,61
Melaleuca quinquenervia,123,0.28,46
Melaleuca quinquenervia,124,0.90,25
Melaleuca quinquenervia,125,0.33,47
Melaleuca quinquenervia,126,0.93,76
Melaleuca quinquenervia,127,0.92,92
Melaleuca quinquenervia,128,0.86,8
Melaleuca quinquenervia,129,0.29,91
Melaleuca quinquenervia,130,0.04,15
Melaleuca quinquenervia,131,0.92,57
Melaleuca quinquenervia,132,0.75,5
Melaleuca quinquenervia,133,0.96,82
Melaleuca quinquenervia,134,0.61,81
Melaleuca quinquenervia,136,0.65,12
Melaleuca quinquenervia,137,0.98,79
Melaleuca quinquenervia,138,0.24,17
Melaleuca quinquenervia,139,0.76,75
Melaleuca quinquenervia,140,0.92,78
Melaleuca quinquenervia,141,0.83,7
Melaleuca quinquenervia,142,0.32,8
Melaleuca quinquenervia,143,0.84,69
Melaleuca quinquenervia,145,0.66,78
Melaleuca quinquenervia,146,0.36,35
Melaleuca quinquenervia,147,0.65,21
Melaleuca quinquenervia,148,0.76,22
Melaleuca quinquenervia,149,0.59,89
Melaleuca quinquenervia,150,0.43,35
Melaleuca quinquenervia,151,0.23,19
Melaleuca quinquenervia,152,0.26,29
Melaleuca quinquenervia,153,0.71,89
Melaleuca quinquenervia,154,0.96,24
Melaleuca quinquenervia,155,0.81,4
Melaleuca quinquenervia,157,0.39,68
Melaleuca quinquenervia,159,0.96,42
Melaleuca quinquenervia,161,0.87,24
Melaleuca quinquenervia,163,0.06,100
Melaleuca quinquenervia,165,0.25,72
Melaleuca quinquenervia,169,0.29,65
Melaleuca quinquenervia,171,0.36,88
Melaleuca quinquenervia,173,0.94,48
Melaleuca quinquenervia,175,0.54,16
Melaleuca quinquenervia,177,0.65,65
Melaleuca quinquenervia,179,0.38,53
Melaleuca quinquenervia,181,0.76,45
Melaleuca quinquenervia,182,0.26,61
Melaleuca quinquenervia,183,0.88,37
Melaleuca quinquenervia,184,0.35,59
Melaleuca quinquenervia,185,0.26,46
Melaleuca quinquenervia,186,0.07,49
Melaleuca quinquenervia,187,0.04,35
Melaleuca quinquenervia,188,0.14,77
Melaleuca quinquenervia,189,0.10,69
Melaleuca quinquenervia,190,0.08,65
Decaspermum humile,2919,0.94,43
