"decimalLatitude","decimalLongitude","species"
-43.389528,147.252389,"Archirhodomyrtus beckleri"
-33.371364,151.318769,"Archirhodomyrtus beckleri"
-32.65,151.016667,"Archirhodomyrtus beckleri"
-32.566667,151.766667,"Archirhodomyrtus beckleri"
-32.566667,151.766667,"Archirhodomyrtus beckleri"
-32.560988,152.284136,"Archirhodomyrtus beckleri"
-32.432265,152.060106,"Archirhodomyrtus beckleri"
-32.432265,152.060106,"Archirhodomyrtus beckleri"
-32.416317,152.069896,"Archirhodomyrtus beckleri"
-32.379262,152.297269,"Archirhodomyrtus beckleri"
-32.379262,152.297269,"Archirhodomyrtus beckleri"
-32.348909,152.123877,"Archirhodomyrtus beckleri"
-32.345126,152.113822,"Archirhodomyrtus beckleri"
-32.344595,152.265754,"Archirhodomyrtus beckleri"
-32.344595,152.265754,"Archirhodomyrtus beckleri"
-32.344155,152.259955,"Archirhodomyrtus beckleri"
-32.344155,152.259955,"Archirhodomyrtus beckleri"
-32.343932,152.25882,"Archirhodomyrtus beckleri"
-32.343932,152.25882,"Archirhodomyrtus beckleri"
-32.3378,152.10857,"Archirhodomyrtus beckleri"
-32.3378,152.10857,"Archirhodomyrtus beckleri"
-32.320463,152.061947,"Archirhodomyrtus beckleri"
-32.320304,152.040702,"Archirhodomyrtus beckleri"
-32.30153,152.122294,"Archirhodomyrtus beckleri"
-32.300372,151.014949,"Archirhodomyrtus beckleri"
-32.299482,152.098873,"Archirhodomyrtus beckleri"
-32.297913,152.06218,"Archirhodomyrtus beckleri"
-32.297894,152.099986,"Archirhodomyrtus beckleri"
-32.297894,152.099986,"Archirhodomyrtus beckleri"
-32.293324,152.051607,"Archirhodomyrtus beckleri"
-32.254731,151.775654,"Archirhodomyrtus beckleri"
-32.249574,151.72724,"Archirhodomyrtus beckleri"
-32.248417,151.584467,"Archirhodomyrtus beckleri"
-32.244176,151.752587,"Archirhodomyrtus beckleri"
-32.241521,151.73372,"Archirhodomyrtus beckleri"
-32.235637,152.102033,"Archirhodomyrtus beckleri"
-32.227828,151.415728,"Archirhodomyrtus beckleri"
-32.216667,151.566667,"Archirhodomyrtus beckleri"
-32.210732,152.083434,"Archirhodomyrtus beckleri"
-32.208534,151.707112,"Archirhodomyrtus beckleri"
-32.188063,152.535414,"Archirhodomyrtus beckleri"
-32.180352,151.680729,"Archirhodomyrtus beckleri"
-32.178908,151.696578,"Archirhodomyrtus beckleri"
-32.178241,151.692872,"Archirhodomyrtus beckleri"
-32.17383,151.633055,"Archirhodomyrtus beckleri"
-32.16888,151.776347,"Archirhodomyrtus beckleri"
-32.164577,151.770806,"Archirhodomyrtus beckleri"
-32.164367,151.7761,"Archirhodomyrtus beckleri"
-32.164249,151.658278,"Archirhodomyrtus beckleri"
-32.164166,151.781395,"Archirhodomyrtus beckleri"
-32.153294,151.691468,"Archirhodomyrtus beckleri"
-32.15,151.5097,"Archirhodomyrtus beckleri"
-32.15,151.5167,"Archirhodomyrtus beckleri"
-32.1491019,151.5236251,"Archirhodomyrtus beckleri"
-32.147897,151.68601,"Archirhodomyrtus beckleri"
-32.146418,151.477199,"Archirhodomyrtus beckleri"
-32.146413,151.477185,"Archirhodomyrtus beckleri"
-32.142483,151.514632,"Archirhodomyrtus beckleri"
-32.1343793,151.4525151,"Archirhodomyrtus beckleri"
-32.133235,151.428577,"Archirhodomyrtus beckleri"
-32.132367,151.599698,"Archirhodomyrtus beckleri"
-32.122906,151.672095,"Archirhodomyrtus beckleri"
-32.1229,151.67208,"Archirhodomyrtus beckleri"
-32.117777,151.480883,"Archirhodomyrtus beckleri"
-32.116931,151.679268,"Archirhodomyrtus beckleri"
-32.1167,151.4667,"Archirhodomyrtus beckleri"
-32.1167,151.4667,"Archirhodomyrtus beckleri"
-32.115275,151.604781,"Archirhodomyrtus beckleri"
-32.114456,151.48005,"Archirhodomyrtus beckleri"
-32.114311,151.68752,"Archirhodomyrtus beckleri"
-32.111329,151.70452,"Archirhodomyrtus beckleri"
-32.107216,151.699279,"Archirhodomyrtus beckleri"
-32.106739,151.653715,"Archirhodomyrtus beckleri"
-32.104211,151.653487,"Archirhodomyrtus beckleri"
-32.103356,151.675012,"Archirhodomyrtus beckleri"
-32.101913,151.765229,"Archirhodomyrtus beckleri"
-32.096301,151.716972,"Archirhodomyrtus beckleri"
-32.09616,151.726278,"Archirhodomyrtus beckleri"
-32.09546,151.679047,"Archirhodomyrtus beckleri"
-32.094385,151.659152,"Archirhodomyrtus beckleri"
-32.094385,151.659152,"Archirhodomyrtus beckleri"
-32.086853,151.523766,"Archirhodomyrtus beckleri"
-32.067849,151.680027,"Archirhodomyrtus beckleri"
-32.067849,151.680027,"Archirhodomyrtus beckleri"
-32.050789,151.63416,"Archirhodomyrtus beckleri"
-32.050783,151.634146,"Archirhodomyrtus beckleri"
-32.040485,151.658127,"Archirhodomyrtus beckleri"
-32.037349,151.655896,"Archirhodomyrtus beckleri"
-31.971881,152.387854,"Archirhodomyrtus beckleri"
-31.971881,152.387854,"Archirhodomyrtus beckleri"
-31.915086,151.251134,"Archirhodomyrtus beckleri"
-31.866667,152.083333,"Archirhodomyrtus beckleri"
-31.81108,152.149536,"Archirhodomyrtus beckleri"
-31.8055,152.6203,"Archirhodomyrtus beckleri"
-31.805475,152.620284,"Archirhodomyrtus beckleri"
-31.80547,152.620276,"Archirhodomyrtus beckleri"
-31.80547,152.620276,"Archirhodomyrtus beckleri"
-31.80547,152.620276,"Archirhodomyrtus beckleri"
-31.790199,152.130208,"Archirhodomyrtus beckleri"
-31.790199,152.130208,"Archirhodomyrtus beckleri"
-31.789048,152.120907,"Archirhodomyrtus beckleri"
-31.788832,152.12618,"Archirhodomyrtus beckleri"
-31.7868,152.127,"Archirhodomyrtus beckleri"
-31.784328,152.125927,"Archirhodomyrtus beckleri"
-31.7826,152.1298,"Archirhodomyrtus beckleri"
-31.750303,152.541556,"Archirhodomyrtus beckleri"
-31.74841,152.584439,"Archirhodomyrtus beckleri"
-31.74521,152.422266,"Archirhodomyrtus beckleri"
-31.74499,152.430978,"Archirhodomyrtus beckleri"
-31.741374,152.13817,"Archirhodomyrtus beckleri"
-31.739091,152.177642,"Archirhodomyrtus beckleri"
-31.731812,152.168206,"Archirhodomyrtus beckleri"
-31.730132,152.799612,"Archirhodomyrtus beckleri"
-31.720952,152.163025,"Archirhodomyrtus beckleri"
-31.714253,152.668637,"Archirhodomyrtus beckleri"
-31.708778,152.64754,"Archirhodomyrtus beckleri"
-31.702691,152.679465,"Archirhodomyrtus beckleri"
-31.702017,152.136664,"Archirhodomyrtus beckleri"
-31.702011,152.136656,"Archirhodomyrtus beckleri"
-31.701513,152.526432,"Archirhodomyrtus beckleri"
-31.7,152.666667,"Archirhodomyrtus beckleri"
-31.699639,152.678536,"Archirhodomyrtus beckleri"
-31.686657,152.682894,"Archirhodomyrtus beckleri"
-31.685875,152.682505,"Archirhodomyrtus beckleri"
-31.685865,152.178112,"Archirhodomyrtus beckleri"
-31.676443,152.704632,"Archirhodomyrtus beckleri"
-31.674746,152.656073,"Archirhodomyrtus beckleri"
-31.669098,152.238388,"Archirhodomyrtus beckleri"
-31.667112,152.419267,"Archirhodomyrtus beckleri"
-31.666675,152.143618,"Archirhodomyrtus beckleri"
-31.665645,152.443058,"Archirhodomyrtus beckleri"
-31.665645,152.443058,"Archirhodomyrtus beckleri"
-31.662513,152.411891,"Archirhodomyrtus beckleri"
-31.6613,152.42289,"Archirhodomyrtus beckleri"
-31.660804,152.418863,"Archirhodomyrtus beckleri"
-31.659312,152.414327,"Archirhodomyrtus beckleri"
-31.659299,152.421204,"Archirhodomyrtus beckleri"
-31.659088,152.422566,"Archirhodomyrtus beckleri"
-31.658521,152.416852,"Archirhodomyrtus beckleri"
-31.657297,152.777633,"Archirhodomyrtus beckleri"
-31.656447,152.777558,"Archirhodomyrtus beckleri"
-31.656407,152.414366,"Archirhodomyrtus beckleri"
-31.654626,152.41751,"Archirhodomyrtus beckleri"
-31.654153,152.788331,"Archirhodomyrtus beckleri"
-31.653507,152.776978,"Archirhodomyrtus beckleri"
-31.640758,152.29778,"Archirhodomyrtus beckleri"
-31.640121,152.220696,"Archirhodomyrtus beckleri"
-31.640079,152.309442,"Archirhodomyrtus beckleri"
-31.637644,152.700545,"Archirhodomyrtus beckleri"
-31.637343,152.20912,"Archirhodomyrtus beckleri"
-31.635466,152.534534,"Archirhodomyrtus beckleri"
-31.6354,152.5345,"Archirhodomyrtus beckleri"
-31.635232,152.539798,"Archirhodomyrtus beckleri"
-31.634989,152.545061,"Archirhodomyrtus beckleri"
-31.6349,152.5451,"Archirhodomyrtus beckleri"
-31.633537,152.364331,"Archirhodomyrtus beckleri"
-31.633333,152.3,"Archirhodomyrtus beckleri"
-31.633333,152.3,"Archirhodomyrtus beckleri"
-31.633333,152.3,"Archirhodomyrtus beckleri"
-31.631234,152.396661,"Archirhodomyrtus beckleri"
-31.63072,152.539514,"Archirhodomyrtus beckleri"
-31.630621,152.14591,"Archirhodomyrtus beckleri"
-31.629522,152.450829,"Archirhodomyrtus beckleri"
-31.626941,152.1354,"Archirhodomyrtus beckleri"
-31.620841,152.539647,"Archirhodomyrtus beckleri"
-31.612567,152.268904,"Archirhodomyrtus beckleri"
-31.608333,152.475,"Archirhodomyrtus beckleri"
-31.606124,152.173758,"Archirhodomyrtus beckleri"
-31.60593,152.468362,"Archirhodomyrtus beckleri"
-31.602584,152.135625,"Archirhodomyrtus beckleri"
-31.601847,152.16823,"Archirhodomyrtus beckleri"
-31.6,152.65,"Archirhodomyrtus beckleri"
-31.6,152.466667,"Archirhodomyrtus beckleri"
-31.592781,152.837717,"Archirhodomyrtus beckleri"
-31.591975,152.619338,"Archirhodomyrtus beckleri"
-31.587959,152.563882,"Archirhodomyrtus beckleri"
-31.587196,152.573024,"Archirhodomyrtus beckleri"
-31.586995,152.431253,"Archirhodomyrtus beckleri"
