"decimalLatitude","decimalLongitude","species"
-35.494427,150.279192,"Backhousia leptopetala"
-35.49419,150.279872,"Backhousia leptopetala"
-34.55,150.85,"Backhousia leptopetala"
-34.249444,150.986667,"Backhousia leptopetala"
-34.240091,150.992831,"Backhousia leptopetala"
-34.233333,150.983333,"Backhousia leptopetala"
-34.233333,150.983333,"Backhousia leptopetala"
-34.233333,150.983334,"Backhousia leptopetala"
-34.233333,150.983333,"Backhousia leptopetala"
-34.23333,150.98333,"Backhousia leptopetala"
-34.2333,150.9833,"Backhousia leptopetala"
-34.2333,150.9833,"Backhousia leptopetala"
-34.233247,150.984548,"Backhousia leptopetala"
-34.2318853,150.9842066,"Backhousia leptopetala"
-34.230861,150.985389,"Backhousia leptopetala"
-34.230861,150.985389,"Backhousia leptopetala"
-34.230833,150.985278,"Backhousia leptopetala"
-34.230833,150.985278,"Backhousia leptopetala"
-34.230065,150.985997,"Backhousia leptopetala"
-34.230065,150.985997,"Backhousia leptopetala"
-34.23,150.98,"Backhousia leptopetala"
-34.229164,150.986019,"Backhousia leptopetala"
-34.228371,150.987171,"Backhousia leptopetala"
-34.228371,150.987171,"Backhousia leptopetala"
-34.227962,150.98378,"Backhousia leptopetala"
-34.2275,150.985,"Backhousia leptopetala"
-34.2275,150.985,"Backhousia leptopetala"
-34.2275,150.985,"Backhousia leptopetala"
-34.22747,150.987193,"Backhousia leptopetala"
-34.216667,150.966667,"Backhousia leptopetala"
-34.216667,150.966667,"Backhousia leptopetala"
-34.216667,150.966667,"Backhousia leptopetala"
-34.216667,150.966667,"Backhousia leptopetala"
-34.116667,151.033333,"Backhousia leptopetala"
-33.866667,151.216667,"Backhousia leptopetala"
-33.866667,151.216667,"Backhousia leptopetala"
-33.866667,151.216667,"Backhousia leptopetala"
-33.8333,151.2167,"Backhousia leptopetala"
-33.816667,151.1,"Backhousia leptopetala"
-33.8,151.0167,"Backhousia leptopetala"
-33.8,151.0167,"Backhousia leptopetala"
-33.633333,150.716667,"Backhousia leptopetala"
-33.518726,151.364818,"Backhousia leptopetala"
