"decimalLatitude","decimalLongitude","species"
-33.377817,151.404686,"Decaspermum humile"
-33.366667,151.366667,"Decaspermum humile"
-33.366667,151.366667,"Decaspermum humile"
-33.33219,151.314994,"Decaspermum humile"
-33.329583,151.378644,"Decaspermum humile"
-33.316667,151.316667,"Decaspermum humile"
-32.306755,151.361365,"Decaspermum humile"
-32.306755,151.361365,"Decaspermum humile"
-31.97188,152.397718,"Decaspermum humile"
-31.945541,152.41575,"Decaspermum humile"
-31.915083,151.917787,"Decaspermum humile"
-31.866667,151.816667,"Decaspermum humile"
-31.866667,151.816667,"Decaspermum humile"
-31.8,152.366667,"Decaspermum humile"
-31.5,152.6667,"Decaspermum humile"
-31.484425,152.779998,"Decaspermum humile"
-31.461926,152.931279,"Decaspermum humile"
-31.45,152.666667,"Decaspermum humile"
-31.45,152.916667,"Decaspermum humile"
-31.45,152.916667,"Decaspermum humile"
-31.45,152.9167,"Decaspermum humile"
-31.416667,152.916667,"Decaspermum humile"
-31.390881,152.233344,"Decaspermum humile"
-31.38708,152.225424,"Decaspermum humile"
-31.242914,152.42115,"Decaspermum humile"
-31.151817,152.393063,"Decaspermum humile"
-31.066667,152.1,"Decaspermum humile"
-30.8333,152.5,"Decaspermum humile"
-30.474006,152.921763,"Decaspermum humile"
-30.45,152.733333,"Decaspermum humile"
-30.437977,153.066918,"Decaspermum humile"
-30.4167,152.8333,"Decaspermum humile"
-30.4,152.733333,"Decaspermum humile"
-30.390485,152.807674,"Decaspermum humile"
-30.390176,152.805007,"Decaspermum humile"
-30.319347,152.826297,"Decaspermum humile"
-30.308,153.002657,"Decaspermum humile"
-30.307103,153.004559,"Decaspermum humile"
-30.306601,153.004515,"Decaspermum humile"
-30.306411,153.004778,"Decaspermum humile"
-30.306386,153.004805,"Decaspermum humile"
-30.305775,153.004813,"Decaspermum humile"
-30.305318,153.00504,"Decaspermum humile"
-30.300125,153.006101,"Decaspermum humile"
-30.299622,153.005106,"Decaspermum humile"
-30.25,152.633333,"Decaspermum humile"
-30.233333,153.016667,"Decaspermum humile"
-30.226729,152.928333,"Decaspermum humile"
-30.219915,153.052917,"Decaspermum humile"
-30.219825,153.053802,"Decaspermum humile"
-30.219555,153.053162,"Decaspermum humile"
-30.219534,153.053103,"Decaspermum humile"
-30.216667,153.016667,"Decaspermum humile"
-30.213692,152.667539,"Decaspermum humile"
-30.2008,152.780596,"Decaspermum humile"
-30.2,153.05,"Decaspermum humile"
-30.166667,152.7,"Decaspermum humile"
-30.151105,152.676908,"Decaspermum humile"
-30.136949,152.957469,"Decaspermum humile"
-30.133396,152.704159,"Decaspermum humile"
-30.132644,152.44979,"Decaspermum humile"
-30.114555,152.723406,"Decaspermum humile"
-30.114442,153.171565,"Decaspermum humile"
-30.113859,153.149512,"Decaspermum humile"
-30.113239,152.724302,"Decaspermum humile"
-30.092652,153.029003,"Decaspermum humile"
-30.0667,152.6167,"Decaspermum humile"
-30.062179,153.110073,"Decaspermum humile"
-30.062005,153.075541,"Decaspermum humile"
-30,152.666667,"Decaspermum humile"
-29.994078,152.679616,"Decaspermum humile"
-29.97773,152.525804,"Decaspermum humile"
-29.977722,152.525798,"Decaspermum humile"
-29.915008,152.52765,"Decaspermum humile"
-29.915008,152.52765,"Decaspermum humile"
-29.914685,152.528148,"Decaspermum humile"
-29.907817,152.211033,"Decaspermum humile"
-29.907808,152.211028,"Decaspermum humile"
-29.780848,153.15185,"Decaspermum humile"
-29.7575,152.619,"Decaspermum humile"
-29.698763,152.568432,"Decaspermum humile"
-29.65947,153.130963,"Decaspermum humile"
-29.658207,153.13059,"Decaspermum humile"
-29.622984,152.94944,"Decaspermum humile"
-29.622269,153.147174,"Decaspermum humile"
-29.62207,152.956965,"Decaspermum humile"
-29.451399,152.678473,"Decaspermum humile"
-29.449461,152.679002,"Decaspermum humile"
-29.081777,153.23638,"Decaspermum humile"
