"decimalLatitude","decimalLongitude","species"
-38.015536,147.639633,"Leptospermum trinervium"
-37.993106,145.134789,"Leptospermum trinervium"
-37.973963,147.084667,"Leptospermum trinervium"
-37.78278,148.89,"Leptospermum trinervium"
-37.77556,148.88861,"Leptospermum trinervium"
-37.77111,148.88722,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76781,149.20402,"Leptospermum trinervium"
-37.76778,149.20139,"Leptospermum trinervium"
-37.7675,148.88833,"Leptospermum trinervium"
-37.76667,149.20056,"Leptospermum trinervium"
-37.766667,149.2,"Leptospermum trinervium"
-37.76472,148.94278,"Leptospermum trinervium"
-37.76389,148.89611,"Leptospermum trinervium"
-37.76083,148.91083,"Leptospermum trinervium"
-37.75778,148.93361,"Leptospermum trinervium"
-37.75382,148.969685,"Leptospermum trinervium"
-37.7525,148.80167,"Leptospermum trinervium"
-37.75167,148.92556,"Leptospermum trinervium"
-37.75111,148.7925,"Leptospermum trinervium"
-37.74985,148.815814,"Leptospermum trinervium"
-37.74972,149.1125,"Leptospermum trinervium"
-37.74778,149.07639,"Leptospermum trinervium"
-37.74694,149.09167,"Leptospermum trinervium"
-37.745,148.83778,"Leptospermum trinervium"
-37.74417,149.14306,"Leptospermum trinervium"
-37.74278,148.91167,"Leptospermum trinervium"
-37.74278,149.45667,"Leptospermum trinervium"
-37.74139,149.28583,"Leptospermum trinervium"
-37.74083,148.86722,"Leptospermum trinervium"
-37.74028,148.91028,"Leptospermum trinervium"
-37.74,149.24278,"Leptospermum trinervium"
-37.74,149.14861,"Leptospermum trinervium"
-37.74,149.42611,"Leptospermum trinervium"
-37.73861,149.11806,"Leptospermum trinervium"
-37.73778,148.88639,"Leptospermum trinervium"
-37.73722,149.34972,"Leptospermum trinervium"
-37.73695,148.94575,"Leptospermum trinervium"
-37.73676,148.91983,"Leptospermum trinervium"
-37.73676,148.91912,"Leptospermum trinervium"
-37.73675,148.92104,"Leptospermum trinervium"
-37.73669,148.91841,"Leptospermum trinervium"
-37.73662,148.94844,"Leptospermum trinervium"
-37.73655,148.94524,"Leptospermum trinervium"
-37.73653,148.91634,"Leptospermum trinervium"
-37.73648,148.91707,"Leptospermum trinervium"
-37.73646,148.91977,"Leptospermum trinervium"
-37.73642,148.91672,"Leptospermum trinervium"
-37.73638,148.91905,"Leptospermum trinervium"
-37.73633,148.92183,"Leptospermum trinervium"
-37.7363,148.91874,"Leptospermum trinervium"
-37.73629,148.94651,"Leptospermum trinervium"
-37.73626,148.92102,"Leptospermum trinervium"
-37.73626,148.9206,"Leptospermum trinervium"
-37.73625,148.92143,"Leptospermum trinervium"
-37.73622,148.91509,"Leptospermum trinervium"
-37.73622,148.94513,"Leptospermum trinervium"
-37.73621,148.9184,"Leptospermum trinervium"
-37.73611,148.93861,"Leptospermum trinervium"
-37.73611,148.9463,"Leptospermum trinervium"
-37.73608,148.91418,"Leptospermum trinervium"
-37.73607,148.91466,"Leptospermum trinervium"
-37.73585,148.94602,"Leptospermum trinervium"
-37.73584,148.91223,"Leptospermum trinervium"
-37.73576,148.94573,"Leptospermum trinervium"
-37.73568,148.9455,"Leptospermum trinervium"
-37.7355,148.9452,"Leptospermum trinervium"
-37.73547,148.92517,"Leptospermum trinervium"
-37.73542,148.91173,"Leptospermum trinervium"
-37.73542,148.94488,"Leptospermum trinervium"
-37.73541,148.92796,"Leptospermum trinervium"
-37.73537,148.92555,"Leptospermum trinervium"
-37.73535,148.90889,"Leptospermum trinervium"
-37.73534,148.91661,"Leptospermum trinervium"
-37.73534,148.91125,"Leptospermum trinervium"
-37.73534,148.91083,"Leptospermum trinervium"
-37.73532,148.91211,"Leptospermum trinervium"
-37.73532,148.91234,"Leptospermum trinervium"
-37.7353,148.92463,"Leptospermum trinervium"
-37.73527,148.90992,"Leptospermum trinervium"
-37.73527,148.90959,"Leptospermum trinervium"
-37.73526,148.91052,"Leptospermum trinervium"
-37.73526,148.91025,"Leptospermum trinervium"
-37.7352,148.9091,"Leptospermum trinervium"
-37.73519,148.9259,"Leptospermum trinervium"
-37.73519,148.90926,"Leptospermum trinervium"
-37.73513,148.91267,"Leptospermum trinervium"
-37.73512,148.91318,"Leptospermum trinervium"
-37.73509,148.92634,"Leptospermum trinervium"
-37.73508,148.92668,"Leptospermum trinervium"
-37.73503,148.91371,"Leptospermum trinervium"
-37.73501,148.90903,"Leptospermum trinervium"
-37.7349,148.92705,"Leptospermum trinervium"
-37.73487,148.92901,"Leptospermum trinervium"
-37.73487,148.92869,"Leptospermum trinervium"
-37.73482,148.93044,"Leptospermum trinervium"
-37.7348,148.92765,"Leptospermum trinervium"
-37.7348,148.92737,"Leptospermum trinervium"
-37.73477,148.92939,"Leptospermum trinervium"
-37.73475,148.90887,"Leptospermum trinervium"
-37.73474,148.90885,"Leptospermum trinervium"
-37.73467,148.92972,"Leptospermum trinervium"
-37.73466,148.93053,"Leptospermum trinervium"
-37.73458,148.93008,"Leptospermum trinervium"
-37.73447,148.93105,"Leptospermum trinervium"
-37.73444,148.90417,"Leptospermum trinervium"
-37.73429,148.93138,"Leptospermum trinervium"
-37.7342,148.93239,"Leptospermum trinervium"
-37.73374,148.93193,"Leptospermum trinervium"
