"decimalLatitude","decimalLongitude","species"
-38.347772,144.296215,"Melaleuca quinquenervia"
-38.129708,145.268172,"Melaleuca quinquenervia"
-38.129544,145.26774,"Melaleuca quinquenervia"
-37.983897,145.217637,"Melaleuca quinquenervia"
-37.983617,145.217667,"Melaleuca quinquenervia"
-37.971649,145.178421,"Melaleuca quinquenervia"
-37.917358,145.159164,"Melaleuca quinquenervia"
-37.892325,145.074936,"Melaleuca quinquenervia"
-37.8256,145.063064,"Melaleuca quinquenervia"
-37.824228,145.204766,"Melaleuca quinquenervia"
-37.640782,145.188526,"Melaleuca quinquenervia"
-37.383378,145.741096,"Melaleuca quinquenervia"
-37.063057,144.227995,"Melaleuca quinquenervia"
-37.06118,146.084244,"Melaleuca quinquenervia"
-36.909444,149.902194,"Melaleuca quinquenervia"
-36.735274,149.93716,"Melaleuca quinquenervia"
-35.902092,150.141181,"Melaleuca quinquenervia"
-35.90099,150.140947,"Melaleuca quinquenervia"
-35.712105,150.177947,"Melaleuca quinquenervia"
-35.697882,150.187317,"Melaleuca quinquenervia"
-35.697877,150.187304,"Melaleuca quinquenervia"
-35.366325,150.466317,"Melaleuca quinquenervia"
-35.356105,150.467774,"Melaleuca quinquenervia"
-35.302631,150.5166,"Melaleuca quinquenervia"
-35.280952,147.727584,"Melaleuca quinquenervia"
-35.146045,147.343377,"Melaleuca quinquenervia"
-35.0968,150.6324,"Melaleuca quinquenervia"
-35.058274,149.554638,"Melaleuca quinquenervia"
-35.012877,150.65372,"Melaleuca quinquenervia"
-35.0069,150.7235,"Melaleuca quinquenervia"
-35.005172,150.722786,"Melaleuca quinquenervia"
-34.997479,138.715373,"Melaleuca quinquenervia"
-34.992152,149.03956,"Melaleuca quinquenervia"
-34.935397,150.763642,"Melaleuca quinquenervia"
-34.892867,150.607062,"Melaleuca quinquenervia"
-34.884227,138.648116,"Melaleuca quinquenervia"
-34.88316,150.6083,"Melaleuca quinquenervia"
-34.879763,150.589133,"Melaleuca quinquenervia"
-34.872238,150.590955,"Melaleuca quinquenervia"
-34.869217,150.691376,"Melaleuca quinquenervia"
-34.854757,150.57797,"Melaleuca quinquenervia"
-34.852328,150.622251,"Melaleuca quinquenervia"
-34.837704,150.738205,"Melaleuca quinquenervia"
-34.826631,150.589461,"Melaleuca quinquenervia"
-34.825122,150.582906,"Melaleuca quinquenervia"
-34.81347,150.591943,"Melaleuca quinquenervia"
-34.762562,150.664093,"Melaleuca quinquenervia"
-34.736668,150.594376,"Melaleuca quinquenervia"
-34.685874,150.509258,"Melaleuca quinquenervia"
-34.648293,150.777152,"Melaleuca quinquenervia"
-34.616815,150.816617,"Melaleuca quinquenervia"
-34.585316,150.850526,"Melaleuca quinquenervia"
-34.579292,150.814132,"Melaleuca quinquenervia"
-34.571797,150.730032,"Melaleuca quinquenervia"
-34.56415,150.83275,"Melaleuca quinquenervia"
-34.558423,150.834397,"Melaleuca quinquenervia"
-34.54728,150.78489,"Melaleuca quinquenervia"
-34.538839,150.861114,"Melaleuca quinquenervia"
-34.538788,150.861102,"Melaleuca quinquenervia"
-34.521609,150.811611,"Melaleuca quinquenervia"
-34.508996,150.733439,"Melaleuca quinquenervia"
-34.497385,150.755032,"Melaleuca quinquenervia"
-34.493191,150.754344,"Melaleuca quinquenervia"
-34.493173,150.754323,"Melaleuca quinquenervia"
-34.464987,150.853626,"Melaleuca quinquenervia"
-34.448612,150.845001,"Melaleuca quinquenervia"
-34.448612,150.845001,"Melaleuca quinquenervia"
-34.442659,150.887108,"Melaleuca quinquenervia"
-34.429425,150.818986,"Melaleuca quinquenervia"
-34.42782,150.839643,"Melaleuca quinquenervia"
-34.425561,150.839375,"Melaleuca quinquenervia"
-34.425245,150.861462,"Melaleuca quinquenervia"
-34.417727,150.886311,"Melaleuca quinquenervia"
-34.416033,150.887488,"Melaleuca quinquenervia"
-34.409527,150.855881,"Melaleuca quinquenervia"
-34.408088,150.888633,"Melaleuca quinquenervia"
-34.400001,150.868906,"Melaleuca quinquenervia"
-34.367144,150.920908,"Melaleuca quinquenervia"
-34.335601,150.907938,"Melaleuca quinquenervia"
-34.319465,150.920122,"Melaleuca quinquenervia"
-34.308647,150.925925,"Melaleuca quinquenervia"
-34.295269,150.734326,"Melaleuca quinquenervia"
-34.277611,150.952416,"Melaleuca quinquenervia"
-34.27742,150.952292,"Melaleuca quinquenervia"
-34.275304,150.56076,"Melaleuca quinquenervia"
-34.258191,150.562349,"Melaleuca quinquenervia"
-34.25173,150.940869,"Melaleuca quinquenervia"
-34.235755,116.136742,"Melaleuca quinquenervia"
-34.216921,150.605329,"Melaleuca quinquenervia"
-34.211729,150.592449,"Melaleuca quinquenervia"
-34.207204,150.579775,"Melaleuca quinquenervia"
-34.206549,150.794323,"Melaleuca quinquenervia"
