"Species","PhenologyEvent","StartMonth","EndMonth","ShortRef","FullRef"
"Backhousia leptopetala","Flowering",7,9,"NSW Flora","NSW Flora Online. Backhousia leptopetala. National Herbarium of NSW."
"Backhousia leptopetala","Fruiting",8,11,"Wikipedia","Wikipedia. Backhousia leptopetala."
"Archirhodomyrtus beckleri","Flowering",10,11,"PlantNET","PlantNET - FloraOnline. Archirhodomyrtus beckleri."
"Archirhodomyrtus beckleri","Fruiting",4,6,"Daley's","Daley's Fruit Tree Nursery. Rose Myrtle - Archirhodomyrtus beckleri."
"Decaspermum humile","Flowering",3,5,"NSW Flora","NSW Flora Online. Decaspermum humile."
"Decaspermum humile","Fruiting",4,8,"Gympie Landcare","Gympie and District Landcare. Silky Myrtle."
"Melaleuca quinquenervia","Flowering",9,3,"Wikipedia","Wikipedia. Melaleuca quinquenervia."
"Melaleuca quinquenervia","Fruiting",9,2,"World Agroforestry","World Agroforestry. Melaleuca quinquenervia."
"Gaudium trinervium","Flowering",8,11,"PlantNET","PlantNET - FloraOnline. Leptospermum trinervium."
"Gaudium trinervium","Fruiting",8,10,"PlantNET","PlantNET - FloraOnline. Leptospermum trinervium."
